experiment,run,protocol,expectedNumberOfClients,actualNumberOfClients,migrationNotificationTime [us]
3,1,reactiveExplicit,1,1,150598
3,2,reactiveExplicit,1,1,160839
3,3,reactiveExplicit,1,1,154022
3,4,reactiveExplicit,1,1,153471
3,5,reactiveExplicit,1,1,164480
3,6,reactiveExplicit,1,1,164900
3,7,reactiveExplicit,1,1,153715
3,8,reactiveExplicit,1,1,153815
3,9,reactiveExplicit,1,1,153701
3,10,reactiveExplicit,1,1,154081
3,1,reactiveExplicit,10,10,164531
3,2,reactiveExplicit,10,10,163337
3,3,reactiveExplicit,10,10,155184
3,4,reactiveExplicit,10,10,158031
3,5,reactiveExplicit,10,10,155241
3,6,reactiveExplicit,10,10,155316
3,7,reactiveExplicit,10,10,166647
3,8,reactiveExplicit,10,10,155526
3,9,reactiveExplicit,10,10,155845
3,10,reactiveExplicit,10,10,154841
3,1,reactiveExplicit,20,20,165258
3,2,reactiveExplicit,20,20,164560
3,3,reactiveExplicit,20,20,164951
3,4,reactiveExplicit,20,20,156589
3,5,reactiveExplicit,20,20,158376
3,6,reactiveExplicit,20,20,162582
3,7,reactiveExplicit,20,20,159524
3,8,reactiveExplicit,20,20,165601
3,9,reactiveExplicit,20,20,163694
3,10,reactiveExplicit,20,20,162389
3,1,reactiveExplicit,30,30,165827
3,2,reactiveExplicit,30,30,165266
3,3,reactiveExplicit,30,30,166436
3,4,reactiveExplicit,30,30,168688
3,5,reactiveExplicit,30,30,163137
3,6,reactiveExplicit,30,30,164566
3,7,reactiveExplicit,30,30,166184
3,8,reactiveExplicit,30,30,166925
3,9,reactiveExplicit,30,30,166688
3,10,reactiveExplicit,30,30,163687
3,1,reactiveExplicit,50,50,166960
3,2,reactiveExplicit,50,50,164657
3,3,reactiveExplicit,50,50,169664
3,4,reactiveExplicit,50,50,169072
3,5,reactiveExplicit,50,50,169043
3,6,reactiveExplicit,50,50,163482
3,7,reactiveExplicit,50,50,167917
3,8,reactiveExplicit,50,50,163769
3,9,reactiveExplicit,50,50,167667
3,10,reactiveExplicit,50,50,168857
3,1,symmetric,1,1,355
3,2,symmetric,1,1,346
3,3,symmetric,1,1,264
3,4,symmetric,1,1,377
3,5,symmetric,1,1,377
3,6,symmetric,1,1,357
3,7,symmetric,1,1,545
3,8,symmetric,1,1,411
3,9,symmetric,1,1,377
3,10,symmetric,1,1,455
3,1,symmetric,10,10,1180
3,2,symmetric,10,10,866
3,3,symmetric,10,10,1036
3,4,symmetric,10,10,1118
3,5,symmetric,10,10,1029
3,6,symmetric,10,10,1070
3,7,symmetric,10,10,1070
3,8,symmetric,10,10,973
3,9,symmetric,10,10,1165
3,10,symmetric,10,10,1011
3,1,symmetric,20,20,2635
3,2,symmetric,20,20,1888
3,3,symmetric,20,20,1909
3,4,symmetric,20,20,1763
3,5,symmetric,20,20,2244
3,6,symmetric,20,20,2617
3,7,symmetric,20,20,1618
3,8,symmetric,20,20,2419
3,9,symmetric,20,20,1786
3,10,symmetric,20,20,2118
3,1,symmetric,30,30,2524
3,2,symmetric,30,30,4009
3,3,symmetric,30,30,4299
3,4,symmetric,30,30,2628
3,5,symmetric,30,30,2772
3,6,symmetric,30,30,3387
3,7,symmetric,30,30,2773
3,8,symmetric,30,30,3259
3,9,symmetric,30,30,2707
3,10,symmetric,30,30,2877
3,1,symmetric,50,50,4363
3,2,symmetric,50,50,4525
3,3,symmetric,50,50,6023
3,4,symmetric,50,50,4134
3,5,symmetric,50,50,4561
3,6,symmetric,50,50,4712
3,7,symmetric,50,50,4453
3,8,symmetric,50,50,4780
3,9,symmetric,50,50,3973
3,10,symmetric,50,50,3778
